date,day,pages,reason
1902-11-25,Tuesday,5,
1902-11-26,Wednesday,5,
1902-11-27,Thursday,5,
1902-11-28,Friday,5,
1902-11-29,Saturday,2,
1902-11-30,Sunday,0,Sunday
1902-12-01,Monday,5,
1902-12-02,Tuesday,5,
1902-12-03,Wednesday,5,
1902-12-04,Thursday,5,
1902-12-05,Friday,5,
1902-12-06,Saturday,2,
1902-12-07,Sunday,0,Sunday
1902-12-08,Monday,5,
1902-12-09,Tuesday,5,
1902-12-10,Wednesday,5,
1902-12-11,Thursday,5,
1902-12-12,Friday,5,
1902-12-13,Saturday,2,
1902-12-14,Sunday,0,Sunday
1902-12-15,Monday,5,
1902-12-16,Tuesday,5,
1902-12-17,Wednesday,5,
1902-12-18,Thursday,5,
1902-12-19,Friday,5,
1902-12-20,Saturday,2,
1902-12-21,Sunday,0,Sunday
1902-12-22,Monday,5,
1902-12-23,Tuesday,5,
1902-12-24,Wednesday,3,
1902-12-25,Thursday,0,Christmas Day
1902-12-26,Friday,0,Boxing Day
1902-12-27,Saturday,0,No pages
1902-12-28,Sunday,0,Sunday
1902-12-29,Monday,0,No pages
1902-12-30,Tuesday,0,No pages
1902-12-31,Wednesday,0,No pages
1903-01-01,Thursday,0,New Years day
1903-01-02,Friday,0,No pages
1903-01-03,Saturday,0,No pages
1903-01-04,Sunday,0,Sunday
1903-01-05,Monday,5,
1903-01-06,Tuesday,4,
1903-01-07,Wednesday,5,
1903-01-08,Thursday,5,
1903-01-09,Friday,4,
1903-01-10,Saturday,2,
1903-01-11,Sunday,0,Sunday
1903-01-12,Monday,5,
1903-01-13,Tuesday,5,
1903-01-14,Wednesday,5,
1903-01-15,Thursday,5,
1903-01-16,Friday,5,
1903-01-17,Saturday,2,
1903-01-18,Sunday,0,Sunday
1903-01-19,Monday,5,
1903-01-20,Tuesday,5,
1903-01-21,Wednesday,5,
1903-01-22,Thursday,5,
1903-01-23,Friday,5,
1903-01-24,Saturday,2,
1903-01-25,Sunday,0,Sunday
1903-01-26,Monday,0,Anniversary Day
1903-01-27,Tuesday,5,
1903-01-28,Wednesday,5,
1903-01-29,Thursday,5,
1903-01-30,Friday,5,
1903-01-31,Saturday,2,
1903-02-01,Sunday,0,Sunday
1903-02-02,Monday,5,
1903-02-03,Tuesday,5,
1903-02-04,Wednesday,5,
1903-02-05,Thursday,5,
1903-02-06,Friday,5,
1903-02-07,Saturday,2,
1903-02-08,Sunday,0,Sunday
1903-02-09,Monday,5,
1903-02-10,Tuesday,5,
1903-02-11,Wednesday,5,
1903-02-12,Thursday,5,
1903-02-13,Friday,5,
1903-02-14,Saturday,2,
1903-02-15,Sunday,0,Sunday
1903-02-16,Monday,5,
1903-02-17,Tuesday,5,
1903-02-18,Wednesday,5,
1903-02-19,Thursday,5,
1903-02-20,Friday,5,
1903-02-21,Saturday,2,
1903-02-22,Sunday,0,Sunday
1903-02-23,Monday,5,
1903-02-24,Tuesday,5,
1903-02-25,Wednesday,5,
1903-02-26,Thursday,5,
1903-02-27,Friday,5,
1903-02-28,Saturday,2,
1903-03-01,Sunday,0,Sunday
1903-03-02,Monday,5,
1903-03-03,Tuesday,5,
1903-03-04,Wednesday,5,
1903-03-05,Thursday,5,
1903-03-06,Friday,5,
1903-03-07,Saturday,2,
1903-03-08,Sunday,0,Sunday
1903-03-09,Monday,5,
1903-03-10,Tuesday,5,
1903-03-11,Wednesday,5,
1903-03-12,Thursday,5,
1903-03-13,Friday,5,
1903-03-14,Saturday,2,
1903-03-15,Sunday,0,Sunday
1903-03-16,Monday,5,
1903-03-17,Tuesday,5,
1903-03-18,Wednesday,5,
1903-03-19,Thursday,5,
1903-03-20,Friday,5,
1903-03-21,Saturday,2,
1903-03-22,Sunday,0,Sunday
1903-03-23,Monday,5,
1903-03-24,Tuesday,5,
1903-03-25,Wednesday,5,
1903-03-26,Thursday,5,
1903-03-27,Friday,5,
1903-03-28,Saturday,2,
1903-03-29,Sunday,0,Sunday
1903-03-30,Monday,5,
1903-03-31,Tuesday,5,
1903-04-01,Wednesday,5,
1903-04-02,Thursday,5,
1903-04-03,Friday,5,
1903-04-04,Saturday,2,
1903-04-05,Sunday,0,Sunday
1903-04-06,Monday,5,
1903-04-07,Tuesday,5,
1903-04-08,Wednesday,5,
1903-04-09,Thursday,3,
1903-04-10,Friday,0,Good Friday
1903-04-11,Saturday,0,Easter Saturday
1903-04-12,Sunday,0,Sunday
1903-04-13,Monday,0,Easter Monday
1903-04-14,Tuesday,0,Easter Tuesday
1903-04-15,Wednesday,5,
1903-04-16,Thursday,5,
1903-04-17,Friday,5,
1903-04-18,Saturday,2,
1903-04-19,Sunday,0,Sunday
1903-04-20,Monday,5,
1903-04-21,Tuesday,5,
1903-04-22,Wednesday,5,
1903-04-23,Thursday,5,
1903-04-24,Friday,5,
1903-04-25,Saturday,2,
1903-04-26,Sunday,0,Sunday
1903-04-27,Monday,5,
1903-04-28,Tuesday,5,
1903-04-29,Wednesday,5,
1903-04-30,Thursday,5,
1903-05-01,Friday,5,
1903-05-02,Saturday,2,
1903-05-03,Sunday,0,Sunday
1903-05-04,Monday,5,
1903-05-05,Tuesday,5,
1903-05-06,Wednesday,5,
1903-05-07,Thursday,5,
1903-05-08,Friday,5,
1903-05-09,Saturday,2,
1903-05-10,Sunday,0,Sunday
1903-05-11,Monday,5,
1903-05-12,Tuesday,5,
1903-05-13,Wednesday,5,
1903-05-14,Thursday,5,
1903-05-15,Friday,5,
1903-05-16,Saturday,2,
1903-05-17,Sunday,0,Sunday
1903-05-18,Monday,5,
1903-05-19,Tuesday,5,
1903-05-20,Wednesday,5,
1903-05-21,Thursday,5,
1903-05-22,Friday,5,
1903-05-23,Saturday,2,
1903-05-24,Sunday,0,Sunday
